Channel,In_Denmark2,Found_In_Other,Best_File
2fri,False,,
2news,False,,
2sport,False,,
3puls,False,,
3sport,False,,
action,False,,
bbc nordic hd (s/d/f) (t).dk,False,Denmark1,Denmark1
blockbuster bk,False,,
charli,False,,
disney,False,,
disneyxtra,False,,
dk film bk,False,,
family,False,,
filmogserier,False,,
id investigation discovery (d) (t).dk,False,Denmark1,Denmark1
love nature hd (t).dk,False,Denmark1,Denmark1
moonbug (t).dk,False,Denmark1,Denmark1
nickelodeon (nordic) (t).dk,False,Denmark1,Denmark1
sat1,False,,
skyshowtime 1 hd (t).dk,False,Denmark1,Denmark1
skyshowtime 2 hd (t).dk,False,Denmark1,Denmark1
sport live (d) (t).dk,False,Denmark1,Denmark1
tlc danmark (t).dk,False,Denmark1,Denmark1
tv 2 charlie hd (d) (t).dk,False,Denmark1,Denmark1
tv 2 echo hd (d) (t).dk,False,Denmark1,Denmark1
tv 2 hd (d) (t).dk,False,Denmark1,Denmark1
tv 2 news hd (d) (t).dk,False,Denmark1,Denmark1
tv 2 sport hd (d) (t).dk,False,Denmark1,Denmark1
tv 2 sport x hd (d) (t).dk,False,Denmark1,Denmark1
tv2sportx,False,,
tv3 hd (d) (t).dk,False,Denmark1,Denmark1
tv3 max hd (d) (t).dk,False,Denmark1,Denmark1
v film,False,,
viaplay sport news hd (d) (t).dk,False,Denmark1,Denmark1
zdf,False,,
